arch_id,run_id,layers,depth,width,total_params,initial_loss,final_loss,test_loss,gen_gap,improvement_pct,convergence_iter,activation_dist
15,2,"[8, 4, 4, 4, 1]",5,4,81,13.717062550041534,13.684138349514553,12.409996528000097,-1.2741418215144567,0.24002369608558433,12,"{np.str_('logistic'): 1, np.str_('relu'): 2}"
16,0,"[8, 8, 8, 8, 1]",5,8,225,13.702771518774513,13.684138349514553,12.407989583651222,-1.276148765863331,0.13598102569564408,18,"{np.str_('relu'): 1, np.str_('logistic'): 2}"
16,1,"[8, 8, 8, 8, 1]",5,8,225,13.950710842533198,13.684138349514553,12.411253094159427,-1.272885255355126,1.9108165600129365,5,{np.str_('logistic'): 3}
14,0,"[8, 64, 64, 1]",4,64,4801,14.208746461296817,13.684330014096036,12.41209277718882,-1.2722372369072161,3.690800230894674,17,{np.str_('logistic'): 2}
14,1,"[8, 64, 64, 1]",4,64,4801,13.757598148412242,13.684290008359662,12.41337715326263,-1.2709128550970323,0.5328556573738896,68,{np.str_('logistic'): 2}
14,2,"[8, 64, 64, 1]",4,64,4801,14.130019460471106,13.684916358062027,12.413802199291185,-1.2711141587708426,3.1500530034955667,37,{np.str_('logistic'): 2}
16,2,"[8, 8, 8, 8, 1]",5,8,225,13.738219871669035,13.684138349514551,12.409231262148028,-1.2749070873665236,0.39365742184699054,13,"{np.str_('logistic'): 2, np.str_('relu'): 1}"
17,0,"[8, 16, 16, 16, 1]",5,16,705,13.707056041055907,13.684140229563006,12.411746581821225,-1.2723936477417812,0.1671825913913414,47,{np.str_('logistic'): 3}
17,1,"[8, 16, 16, 16, 1]",5,16,705,14.09759268036802,13.68413835338537,12.411041562983755,-1.273096790401615,2.932800914005817,4,{np.str_('logistic'): 3}
17,2,"[8, 16, 16, 16, 1]",5,16,705,14.17638078512827,13.684138357412149,12.410891845287711,-1.2732465121244374,3.4722714857695425,6,{np.str_('logistic'): 3}
18,0,"[8, 32, 32, 32, 1]",5,32,2433,14.041495364103646,13.684216785930916,12.412011127485012,-1.2722056584459036,2.544448215153026,8,{np.str_('logistic'): 3}
18,1,"[8, 32, 32, 32, 1]",5,32,2433,13.826724468580482,13.684344568444036,12.413146255436526,-1.2711983130075097,1.0297442496954798,72,{np.str_('logistic'): 3}
18,2,"[8, 32, 32, 32, 1]",5,32,2433,13.916428401133183,13.684164070290098,12.411569717678073,-1.2725943526120247,1.6689938262045196,17,{np.str_('logistic'): 3}
19,2,"[8, 64, 64, 64, 1]",5,64,8961,13.847638066299881,13.684312022779288,12.412655138791342,-1.271656883987946,1.1794505513403708,51,"{np.str_('logistic'): 2, np.str_('tanh'): 1}"
19,0,"[8, 64, 64, 64, 1]",5,64,8961,13.755516406805425,13.68415666053854,12.412066597305918,-1.2720900632326213,0.5187718451019488,8,{np.str_('logistic'): 3}
19,1,"[8, 64, 64, 64, 1]",5,64,8961,13.771615933663266,13.68415533887254,12.411623625763882,-1.2725317131086573,0.6350786662365363,95,{np.str_('logistic'): 3}
